,season,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,casual,registered,cnt,day,daylight_hours
6585,4,23,0,4,1,1,0.44,0.88,0.0896,18,81,99,6,11.575
6597,4,11,0,5,1,1,0.56,0.63,0.0,80,150,230,7,11.533611111111112
6618,4,8,0,6,0,1,0.46,0.82,0.0,14,89,103,8,11.492222222222223
6632,4,22,0,6,0,1,0.5,0.77,0.0,45,104,149,8,11.492222222222223
6646,4,12,0,0,0,1,0.64,0.44,0.0896,212,243,455,9,11.450833333333334
6650,4,16,0,0,0,1,0.66,0.5,0.1343,223,247,470,9,11.450833333333334
6651,4,17,0,0,0,1,0.62,0.61,0.1045,208,230,438,9,11.450833333333334
6683,4,1,0,2,1,2,0.52,0.94,0.0896,2,9,11,11,11.368333333333334
6694,4,12,0,2,1,2,0.6,0.73,0.1642,51,130,181,11,11.368333333333334
6734,4,4,0,4,1,2,0.54,1.0,0.1045,2,5,7,13,11.286388888888888
6782,4,4,0,6,0,1,0.42,0.67,0.1343,0,6,6,15,11.204722222222221
6784,4,6,0,6,0,1,0.4,0.71,0.0,5,15,20,15,11.204722222222221
6805,4,3,0,0,0,1,0.42,0.54,0.1343,11,31,42,16,11.164166666666667
6808,4,6,0,0,0,1,0.38,0.66,0.1642,3,7,10,16,11.164166666666667
6812,4,10,0,0,0,1,0.54,0.45,0.2537,121,226,347,16,11.164166666666667
6820,4,18,0,0,0,1,0.56,0.49,0.4478,102,226,328,16,11.164166666666667
6824,4,22,0,0,0,1,0.56,0.49,0.4179,42,88,130,16,11.164166666666667
6835,4,9,0,1,1,2,0.5,0.45,0.2836,26,180,206,17,11.123611111111112
6840,4,14,0,1,1,1,0.58,0.49,0.194,44,122,166,17,11.123611111111112
6841,4,15,0,1,1,1,0.56,0.6,0.2537,66,142,208,17,11.123611111111112
6848,4,22,0,1,1,1,0.5,0.77,0.0,16,88,104,17,11.123611111111112
6877,4,4,0,3,1,3,0.5,0.94,0.194,0,3,3,19,11.043055555555556
6920,4,23,0,4,1,1,0.42,0.58,0.2537,7,83,90,20,11.003055555555555
6922,4,1,0,5,1,1,0.4,0.62,0.2239,7,19,26,21,10.963333333333333
6934,4,13,0,5,1,1,0.48,0.48,0.3284,43,163,206,21,10.963333333333333
6940,4,19,0,5,1,2,0.44,0.54,0.3881,25,228,253,21,10.963333333333333
6941,4,20,0,5,1,2,0.44,0.54,0.2239,29,155,184,21,10.963333333333333
6953,4,8,0,6,0,1,0.4,0.71,0.0,26,88,114,22,10.92361111111111
6981,4,12,0,0,0,1,0.5,0.59,0.2537,164,249,413,23,10.884166666666667
7029,4,12,0,2,1,1,0.54,0.39,0.3582,35,165,200,25,10.805833333333334
7076,4,11,0,4,1,3,0.5,0.88,0.1343,8,44,52,27,10.728333333333333
7080,4,15,0,4,1,2,0.52,0.83,0.1045,12,95,107,27,10.728333333333333
7081,4,16,0,4,1,2,0.56,0.73,0.1642,14,193,207,27,10.728333333333333
7093,4,4,0,5,1,1,0.3,0.65,0.2836,5,5,10,28,10.69
7112,4,23,0,5,1,3,0.3,0.81,0.3284,8,31,39,28,10.69
7147,4,10,0,0,0,1,0.32,0.61,0.0896,53,125,178,30,10.614166666666666
7148,4,11,0,0,0,1,0.36,0.53,0.2239,58,182,240,30,10.614166666666666
7163,4,2,0,1,1,1,0.24,0.87,0.0,0,3,3,31,10.576666666666666
7208,4,23,0,2,1,1,0.34,0.87,0.0,11,61,72,1,10.539166666666667
7280,4,23,0,5,1,1,0.32,0.49,0.3284,17,72,89,4,10.429444444444444
7342,4,13,0,1,1,1,0.54,0.49,0.0896,32,157,189,7,10.323055555555555
7378,4,1,0,3,1,1,0.34,0.87,0.0,0,10,10,9,10.25388888888889
7416,4,15,0,4,1,3,0.36,0.81,0.2985,5,57,62,10,10.220277777777778
7458,4,9,0,6,0,1,0.3,0.61,0.1642,18,142,160,12,10.153888888888888
7460,4,11,0,6,0,1,0.38,0.54,0.2836,102,213,315,12,10.153888888888888
7473,4,0,0,0,0,2,0.4,0.58,0.194,12,61,73,13,10.12138888888889
7495,4,22,0,0,0,1,0.48,0.41,0.3881,25,64,89,13,10.12138888888889
7528,4,7,0,2,1,2,0.54,0.68,0.1642,21,298,319,15,10.058055555555555
7529,4,8,0,2,1,2,0.54,0.68,0.1045,27,453,480,15,10.058055555555555
7537,4,16,0,2,1,2,0.52,0.68,0.1343,31,240,271,15,10.058055555555555
7547,4,2,0,3,1,2,0.46,0.94,0.1045,4,6,10,16,10.027222222222223
7561,4,16,0,3,1,3,0.48,0.94,0.1045,13,110,123,16,10.027222222222223
7594,4,1,0,5,1,1,0.26,0.44,0.3284,0,10,10,18,9.966944444444444
7611,4,18,0,5,1,1,0.3,0.36,0.1642,16,312,328,18,9.966944444444444
7615,4,22,0,5,1,1,0.26,0.52,0.1045,9,88,97,18,9.966944444444444
7616,4,23,0,5,1,1,0.26,0.6,0.1343,5,54,59,18,9.966944444444444
7655,4,14,0,0,0,1,0.52,0.63,0.2537,113,250,363,20,9.909444444444444
7670,4,5,0,1,1,2,0.44,1.0,0.0,0,20,20,21,9.881666666666666
7674,4,9,0,1,1,2,0.48,0.94,0.1045,15,222,237,21,9.881666666666666
7707,4,18,0,2,1,3,0.44,1.0,0.0,0,148,148,22,9.854444444444445
7714,4,1,0,3,1,2,0.48,0.94,0.2985,0,8,8,23,9.827777777777778
7723,4,10,0,3,1,2,0.52,0.94,0.194,6,70,76,23,9.827777777777778
7731,4,18,0,3,1,2,0.4,0.58,0.5224,7,138,145,23,9.827777777777778
7772,4,11,0,5,1,1,0.4,0.66,0.1045,99,127,226,25,9.776666666666667
7773,4,12,0,5,1,1,0.46,0.51,0.1045,126,146,272,25,9.776666666666667
7782,4,21,0,5,1,1,0.36,0.71,0.0,24,61,85,25,9.776666666666667
7812,4,3,0,0,0,1,0.34,0.87,0.0,9,8,17,27,9.72861111111111
7817,4,8,0,0,0,1,0.4,0.82,0.2985,6,36,42,27,9.72861111111111
7820,4,11,0,0,0,1,0.5,0.63,0.3582,83,157,240,27,9.72861111111111
7828,4,19,0,0,0,1,0.48,0.67,0.2239,30,109,139,27,9.72861111111111
7829,4,20,0,0,0,1,0.5,0.63,0.2537,10,94,104,27,9.72861111111111
7836,4,4,0,1,1,1,0.44,0.82,0.0896,0,4,4,28,9.705833333333333
7868,4,12,0,2,1,3,0.42,0.82,0.4179,1,17,18,29,9.68388888888889
7877,4,21,0,2,1,2,0.38,0.87,0.2537,9,116,125,29,9.68388888888889
7890,4,10,0,3,1,1,0.34,0.66,0.2239,15,95,110,30,9.6625
7920,4,16,0,4,1,1,0.4,0.4,0.194,9,192,201,1,9.641944444444444
7943,4,15,0,5,1,1,0.42,0.41,0.0896,24,175,199,2,9.6225
7946,4,18,0,5,1,1,0.4,0.5,0.0,10,362,372,2,9.6225
7990,4,14,0,0,0,1,0.42,0.62,0.1343,77,246,323,4,9.585833333333333
8003,4,3,0,1,1,1,0.32,0.87,0.0,0,2,2,5,9.568888888888889
8022,4,22,0,1,1,2,0.44,0.88,0.1343,12,94,106,5,9.568888888888889
8024,4,0,0,2,1,2,0.5,0.77,0.2985,3,25,28,6,9.552777777777777
8050,4,2,0,3,1,3,0.46,1.0,0.2239,2,4,6,7,9.5375
8076,4,4,0,4,1,2,0.24,0.6,0.4627,0,2,2,8,9.523333333333333
8108,4,12,0,5,1,1,0.36,0.57,0.2985,27,146,173,9,9.510277777777778
8120,4,0,0,6,0,2,0.26,0.81,0.1045,11,66,77,10,9.497777777777777
8198,4,6,0,2,1,1,0.2,0.8,0.0,0,92,92,13,9.466944444444444
8204,4,12,0,2,1,1,0.36,0.43,0.3582,20,147,167,13,9.466944444444444
8209,4,17,0,2,1,1,0.36,0.4,0.194,17,381,398,13,9.466944444444444
8277,4,13,0,5,1,2,0.34,0.39,0.3582,12,125,137,16,9.445
8299,4,11,0,6,0,2,0.28,0.45,0.3284,21,188,209,17,9.439722222222223
8305,4,17,0,6,0,1,0.26,0.48,0.2239,12,153,165,17,9.439722222222223
8333,4,21,0,0,0,1,0.22,0.64,0.0,9,80,89,18,9.435555555555556
8347,4,11,0,1,1,1,0.26,0.65,0.2537,22,105,127,19,9.4325
8372,4,12,0,2,1,2,0.44,0.54,0.1343,16,159,175,20,9.430277777777778
8441,1,9,0,5,1,1,0.4,0.66,0.2985,4,152,156,23,9.430277777777778
8531,1,5,0,2,1,2,0.3,0.64,0.2836,0,8,8,27,9.445
8600,1,3,0,5,1,1,0.24,0.7,0.1045,0,6,6,30,9.466944444444444
8602,1,5,0,5,1,1,0.22,0.75,0.0896,0,10,10,30,9.466944444444444
8664,1,19,0,0,0,3,0.42,0.67,0.3881,20,85,105,1,9.48638888888889
8673,1,5,1,1,0,1,0.28,0.45,0.3284,1,3,4,2,9.497777777777777
8681,1,13,1,1,0,1,0.3,0.36,0.2985,26,150,176,2,9.497777777777777
8685,1,17,1,1,0,1,0.26,0.35,0.3881,17,136,153,2,9.497777777777777
8754,1,14,0,4,1,1,0.34,0.39,0.2836,13,104,117,5,9.537777777777778
8761,1,21,0,4,1,1,0.26,0.6,0.1343,9,88,97,5,9.537777777777778
8793,1,5,0,6,0,1,0.26,0.75,0.1045,2,7,9,7,9.569166666666666
8849,1,13,0,1,1,2,0.26,0.56,0.1045,3,77,80,9,9.604166666666666
8853,1,17,0,1,1,3,0.22,0.87,0.0,5,147,152,9,9.604166666666666
8860,1,0,0,2,1,2,0.22,0.87,0.1045,0,14,14,10,9.623055555555556
8866,1,7,0,2,1,2,0.18,0.93,0.1642,3,219,222,10,9.623055555555556
8878,1,19,0,2,1,1,0.38,0.46,0.1045,11,270,281,10,9.623055555555556
8927,1,20,0,4,1,2,0.42,0.71,0.194,11,229,240,12,9.663333333333334
8954,1,23,0,5,1,1,0.18,0.47,0.194,5,60,65,13,9.684722222222222
8964,1,9,0,6,0,1,0.14,0.5,0.1045,3,78,81,14,9.707222222222223
8983,1,4,0,0,0,2,0.16,0.47,0.3881,1,5,6,15,9.730277777777777
8996,1,17,0,0,0,1,0.22,0.25,0.2537,15,131,146,15,9.730277777777777
9016,1,13,1,1,0,2,0.24,0.41,0.4179,26,202,228,16,9.754166666666666
9035,1,9,0,2,1,3,0.32,0.81,0.2537,7,61,68,17,9.778611111111111
9065,1,15,0,3,1,1,0.3,0.33,0.5224,8,122,130,18,9.804166666666667
9070,1,20,0,3,1,1,0.22,0.37,0.2537,1,164,165,18,9.804166666666667
9076,1,2,0,4,1,1,0.14,0.5,0.1343,0,3,3,19,9.83
9091,1,17,0,4,1,2,0.26,0.44,0.3284,21,364,385,19,9.83
9106,1,8,0,5,1,1,0.22,0.64,0.2537,4,421,425,20,9.856944444444444
9133,1,11,0,6,0,2,0.18,0.86,0.1045,1,62,63,21,9.884444444444444
9158,1,12,0,0,0,2,0.16,0.8,0.2239,24,161,185,22,9.9125
9198,1,4,0,2,1,2,0.3,1.0,0.0896,0,2,2,24,9.970833333333333
9212,1,18,0,2,1,1,0.4,0.62,0.0896,32,391,423,24,9.970833333333333
9224,1,6,0,3,1,1,0.24,0.73,0.2239,1,87,88,25,10.000833333333333
9225,1,7,0,3,1,1,0.24,0.75,0.2239,14,243,257,25,10.000833333333333
9232,1,14,0,3,1,1,0.34,0.49,0.0896,53,107,160,25,10.000833333333333
9241,1,23,0,3,1,2,0.28,0.65,0.0,3,63,66,25,10.000833333333333
9256,1,14,0,4,1,2,0.4,0.71,0.1045,16,112,128,26,10.031666666666666
9260,1,18,0,4,1,2,0.42,0.71,0.0,12,394,406,26,10.031666666666666
9275,1,9,0,5,1,3,0.5,0.88,0.2836,6,101,107,27,10.062777777777777
9279,1,13,0,5,1,1,0.5,0.59,0.4627,26,175,201,27,10.062777777777777
9292,1,2,0,6,0,1,0.26,0.6,0.0,3,38,41,28,10.094722222222222
9328,1,14,0,0,0,1,0.32,0.26,0.2537,51,229,280,29,10.126944444444444
9352,1,14,0,1,1,1,0.32,0.24,0.1343,15,100,115,30,10.159722222222221
9364,1,2,0,2,1,1,0.3,0.42,0.2239,0,2,2,31,10.193333333333333
9386,1,0,0,3,1,1,0.44,0.38,0.2836,0,31,31,1,10.226944444444445
9404,1,18,0,3,1,1,0.56,0.46,0.1642,12,514,526,1,10.226944444444445
9447,1,13,0,5,1,1,0.36,0.46,0.0,25,173,198,3,10.296111111111111
9460,1,2,0,6,0,1,0.24,0.7,0.0896,6,38,44,4,10.331388888888888
9480,1,22,0,6,0,2,0.24,0.87,0.0896,4,91,95,4,10.331388888888888
9497,1,15,0,0,0,2,0.3,0.56,0.2537,55,217,272,5,10.366944444444444
9543,1,14,0,2,1,1,0.44,0.38,0.2537,11,127,138,7,10.439444444444444
9585,1,8,0,4,1,1,0.2,0.64,0.2537,11,473,484,9,10.513333333333334
9594,1,17,0,4,1,1,0.34,0.34,0.1343,12,387,399,9,10.513333333333334
9598,1,21,0,4,1,1,0.3,0.52,0.0896,8,169,177,9,10.513333333333334
9609,1,8,0,5,1,1,0.2,0.59,0.1642,1,447,448,10,10.550555555555556
9618,1,17,0,5,1,2,0.34,0.42,0.194,15,381,396,10,10.550555555555556
9620,1,19,0,5,1,2,0.32,0.57,0.0,16,246,262,10,10.550555555555556
9623,1,22,0,5,1,2,0.32,0.66,0.0,11,102,113,10,10.550555555555556
9626,1,1,0,6,0,3,0.28,0.81,0.1343,2,43,45,11,10.588333333333333
9707,1,10,0,2,1,2,0.26,0.6,0.1343,8,90,98,14,10.703611111111112
9752,1,7,0,4,1,2,0.3,0.7,0.1343,3,285,288,16,10.781666666666666
9773,1,4,0,5,1,2,0.28,0.93,0.194,0,1,1,17,10.821111111111112
9777,1,8,0,5,1,2,0.26,1.0,0.0,4,516,520,17,10.821111111111112
9778,1,9,0,5,1,2,0.26,1.0,0.0,8,275,283,17,10.821111111111112
9795,1,2,0,6,0,1,0.3,0.61,0.2537,6,39,45,18,10.860833333333334
9799,1,6,0,6,0,1,0.24,0.7,0.0,1,8,9,18,10.860833333333334
9812,1,19,0,6,0,1,0.44,0.44,0.1642,38,150,188,18,10.860833333333334
9825,1,8,0,0,0,2,0.24,0.56,0.194,8,48,56,19,10.900555555555556
9847,1,7,1,1,0,2,0.22,0.55,0.3284,2,42,44,20,10.940833333333334
9858,1,18,1,1,0,1,0.34,0.34,0.2239,27,215,242,20,10.940833333333334
9859,1,19,1,1,0,1,0.34,0.34,0.2239,8,164,172,20,10.940833333333334
9885,1,22,0,2,1,2,0.34,0.71,0.194,3,97,100,21,10.981111111111112
9889,1,2,0,3,1,1,0.34,0.66,0.2836,1,5,6,22,11.02138888888889
9908,1,21,0,3,1,2,0.48,0.33,0.2836,19,220,239,22,11.02138888888889
9913,1,2,0,4,1,2,0.44,0.62,0.2239,5,4,9,23,11.062222222222223
9964,1,5,0,6,0,2,0.3,0.42,0.2985,0,3,3,25,11.143888888888888
9995,1,12,0,0,0,1,0.3,0.39,0.1343,49,256,305,26,11.185
9997,1,14,0,0,0,1,0.34,0.31,0.0,68,263,331,26,11.185
10040,1,9,0,2,1,1,0.28,0.45,0.3582,7,225,232,28,11.267777777777777
10067,1,13,0,3,1,2,0.36,0.93,0.3582,4,72,76,29,11.309166666666666
10080,1,2,0,4,1,2,0.46,0.94,0.2836,0,6,6,1,11.350833333333334
10088,1,10,0,4,1,1,0.52,0.55,0.1642,11,122,133,1,11.350833333333334
10117,1,15,0,5,1,2,0.42,0.5,0.2985,5,73,78,2,11.3925
10130,1,4,0,6,0,2,0.36,0.93,0.194,0,2,2,3,11.434444444444445
10166,1,16,0,0,0,1,0.36,0.29,0.4925,68,231,299,4,11.47638888888889
10182,1,8,0,1,1,1,0.2,0.59,0.1045,13,415,428,5,11.518333333333333
10224,1,2,0,3,1,1,0.3,0.56,0.2836,0,4,4,7,11.6025
10258,1,12,0,4,1,2,0.56,0.6,0.4478,27,224,251,8,11.644722222222223
10279,1,9,0,5,1,2,0.34,0.42,0.5224,17,267,284,9,11.686944444444444
10281,1,11,0,5,1,2,0.36,0.34,0.3582,17,170,187,9,11.686944444444444
10289,1,19,0,5,1,1,0.42,0.28,0.6119,12,232,244,9,11.686944444444444
10291,1,21,0,5,1,1,0.36,0.34,0.3284,8,133,141,9,11.686944444444444
10293,1,23,0,5,1,1,0.32,0.33,0.2985,9,77,86,9,11.686944444444444
10317,1,23,0,6,0,1,0.26,0.41,0.194,6,77,83,10,11.729444444444445
10326,1,9,0,0,0,1,0.26,0.6,0.2239,20,70,90,11,11.771666666666667
10327,1,10,0,0,0,1,0.32,0.49,0.2836,71,147,218,11,11.771666666666667
10409,1,20,0,3,1,1,0.62,0.35,0.1045,44,286,330,14,11.899166666666666
10530,1,21,0,1,1,1,0.6,0.64,0.1642,33,190,223,19,12.111666666666666
10552,1,19,0,2,1,1,0.58,0.73,0.1343,75,480,555,20,12.154166666666667
10559,2,2,0,3,1,1,0.5,0.88,0.1343,2,8,10,21,12.196666666666667
10563,2,6,0,3,1,2,0.48,0.94,0.2239,10,139,149,21,12.196666666666667
10569,2,12,0,3,1,2,0.54,0.77,0.0,58,171,229,21,12.196666666666667
10628,2,23,0,5,1,1,0.6,0.69,0.2537,51,125,176,23,12.28138888888889
10674,2,21,0,0,0,1,0.48,0.77,0.1642,25,124,149,25,12.366388888888888
10684,2,7,0,1,1,1,0.44,0.72,0.194,15,355,370,26,12.408611111111112
10703,2,2,0,2,1,1,0.26,0.3,0.2985,1,6,7,27,12.450833333333334
10719,2,18,0,2,1,1,0.42,0.17,0.0896,67,577,644,27,12.450833333333334
10732,2,7,0,3,1,1,0.36,0.46,0.3284,10,348,358,28,12.493055555555555
10738,2,13,0,3,1,1,0.56,0.43,0.3284,60,213,273,28,12.493055555555555
10740,2,15,0,3,1,2,0.62,0.41,0.2985,47,152,199,28,12.493055555555555
10743,2,18,0,3,1,1,0.6,0.6,0.2239,61,580,641,28,12.493055555555555
10761,2,12,0,4,1,1,0.5,0.42,0.4925,64,228,292,29,12.535277777777777
10803,2,6,0,6,0,2,0.36,0.87,0.1642,7,16,23,31,12.619444444444444
10809,2,12,0,6,0,1,0.48,0.67,0.0,263,358,621,31,12.619444444444444
10828,2,7,0,0,0,2,0.36,0.71,0.1343,29,55,84,1,12.661388888888888
10888,2,20,0,2,1,1,0.56,0.24,0.1343,54,325,379,3,12.745277777777778
10889,2,21,0,2,1,1,0.54,0.45,0.0,33,210,243,3,12.745277777777778
10901,2,9,0,3,1,2,0.48,0.55,0.1343,47,316,363,4,12.786944444444444
10929,2,13,0,4,1,1,0.46,0.31,0.0,89,202,291,5,12.828333333333333
10974,2,10,0,6,0,1,0.42,0.28,0.2537,187,176,363,7,12.911388888888888
11036,2,0,0,2,1,2,0.44,0.47,0.2836,3,23,26,10,13.034722222222221
11037,2,1,0,2,1,1,0.42,0.5,0.2239,0,9,9,10,13.034722222222221
11042,2,6,0,2,1,1,0.34,0.71,0.1045,3,100,103,10,13.034722222222221
11046,2,10,0,2,1,1,0.46,0.47,0.1642,49,132,181,10,13.034722222222221
11116,2,9,0,5,1,1,0.42,0.41,0.1642,36,294,330,13,13.156944444444445
11118,2,11,0,5,1,1,0.46,0.36,0.1343,75,158,233,13,13.156944444444445
11132,2,1,0,6,0,1,0.4,0.58,0.1343,10,60,70,14,13.197222222222223
11162,2,7,0,0,0,1,0.5,0.63,0.1045,16,30,46,15,13.2375
11170,2,15,0,0,0,1,0.7,0.39,0.3881,266,351,617,15,13.2375
11171,2,16,0,0,0,1,0.72,0.39,0.3582,286,330,616,15,13.2375
11174,2,19,0,0,0,1,0.7,0.42,0.2537,114,265,379,15,13.2375
11179,2,0,1,1,0,1,0.64,0.53,0.3284,15,26,41,16,13.2775
11203,2,0,0,2,1,1,0.66,0.54,0.194,10,33,43,17,13.3175
11204,2,1,0,2,1,1,0.64,0.57,0.1642,6,5,11,17,13.3175
11226,2,23,0,2,1,1,0.54,0.32,0.2239,10,72,82,17,13.3175
11261,2,10,0,4,1,1,0.48,0.63,0.0896,46,143,189,19,13.39638888888889
11262,2,11,0,4,1,1,0.52,0.48,0.0,46,183,229,19,13.39638888888889
11266,2,15,0,4,1,1,0.6,0.43,0.0,66,196,262,19,13.39638888888889
11269,2,18,0,4,1,1,0.6,0.43,0.0896,99,677,776,19,13.39638888888889
11294,2,19,0,5,1,1,0.6,0.53,0.194,82,410,492,20,13.435555555555556
11302,2,3,0,6,0,1,0.5,0.82,0.2239,4,25,29,21,13.474722222222223
11318,2,19,0,6,0,3,0.56,0.73,0.4925,9,45,54,21,13.474722222222223
11332,2,9,0,0,0,3,0.4,0.82,0.2537,8,71,79,22,13.513333333333334
11333,2,10,0,0,0,3,0.38,0.82,0.3284,11,57,68,22,13.513333333333334
11389,2,18,0,2,1,1,0.5,0.18,0.0,52,580,632,24,13.59
11400,2,5,0,3,1,1,0.34,0.66,0.0,0,24,24,25,13.628055555555555
11405,2,10,0,3,1,1,0.52,0.34,0.0,44,138,182,25,13.628055555555555
11424,2,5,0,4,1,2,0.48,0.63,0.1343,0,17,17,26,13.665833333333333
11425,2,6,0,4,1,2,0.48,0.63,0.2537,5,122,127,26,13.665833333333333
11427,2,8,0,4,1,3,0.46,0.82,0.194,4,358,362,26,13.665833333333333
11440,2,21,0,4,1,1,0.52,0.83,0.2239,28,222,250,26,13.665833333333333
11454,2,11,0,5,1,1,0.44,0.38,0.3284,47,186,233,27,13.703055555555556
11457,2,14,0,5,1,1,0.46,0.33,0.3284,94,206,300,27,13.703055555555556
11458,2,15,0,5,1,1,0.52,0.29,0.4925,101,223,324,27,13.703055555555556
11460,2,17,0,5,1,1,0.54,0.24,0.3881,89,613,702,27,13.703055555555556
11462,2,19,0,5,1,1,0.5,0.27,0.3881,62,379,441,27,13.703055555555556
11465,2,22,0,5,1,1,0.42,0.38,0.2537,24,134,158,27,13.703055555555556
11471,2,4,0,6,0,1,0.34,0.49,0.1642,0,2,2,28,13.740277777777777
11480,2,13,0,6,0,2,0.4,0.37,0.0,120,269,389,28,13.740277777777777
11488,2,21,0,6,0,3,0.36,0.71,0.194,12,72,84,28,13.740277777777777
11532,2,17,0,1,1,1,0.56,0.6,0.1642,66,617,683,30,14.016666666666667
11533,2,18,0,1,1,2,0.56,0.6,0.2239,53,611,664,30,14.016666666666667
11537,2,22,0,1,1,2,0.52,0.55,0.1642,11,123,134,30,14.016666666666667
11553,2,14,0,2,1,2,0.74,0.48,0.2537,37,167,204,1,13.833333333333334
11560,2,21,0,2,1,1,0.64,0.65,0.1343,31,251,282,1,13.833333333333334
11606,2,19,0,4,1,1,0.7,0.61,0.194,55,467,522,3,13.904444444444444
11645,2,10,0,6,0,1,0.66,0.65,0.1343,148,284,432,5,13.974166666666667
11652,2,17,0,6,0,2,0.68,0.65,0.2985,204,298,502,5,13.974166666666667
11658,2,23,0,6,0,2,0.56,0.83,0.2836,35,114,149,5,13.974166666666667
11666,2,7,0,0,0,3,0.52,0.83,0.1642,5,31,36,6,14.008333333333333
11683,2,0,0,1,1,2,0.52,0.77,0.1343,13,21,34,7,14.042222222222222
11708,2,1,0,2,1,2,0.52,0.59,0.2239,6,3,9,8,14.075555555555555
11714,2,7,0,2,1,1,0.52,0.72,0.2836,21,442,463,8,14.075555555555555
11753,2,22,0,3,1,3,0.48,0.82,0.1045,5,62,67,9,14.108333333333333
11808,2,5,0,6,0,1,0.42,0.67,0.1343,5,8,13,12,14.204166666666667
11818,2,15,0,6,0,1,0.68,0.24,0.194,269,321,590,12,14.204166666666667
11835,2,8,0,0,0,1,0.56,0.64,0.1642,32,124,156,13,14.235
11862,2,11,0,1,1,2,0.56,0.83,0.2239,12,67,79,14,14.265555555555556
11864,2,13,0,1,1,2,0.62,0.73,0.2239,33,143,176,14,14.265555555555556
11879,2,4,0,2,1,3,0.56,0.94,0.0,1,4,5,15,14.295555555555556
11936,2,13,0,4,1,1,0.62,0.41,0.194,86,241,327,17,14.35361111111111
12006,2,11,0,0,0,1,0.66,0.36,0.3284,258,323,581,20,14.436111111111112
12120,2,5,0,5,1,2,0.62,0.88,0.0896,2,28,30,25,14.561111111111112
12123,2,8,0,5,1,2,0.64,0.89,0.1045,32,551,583,25,14.561111111111112
12128,2,13,0,5,1,1,0.74,0.62,0.1343,86,247,333,25,14.561111111111112
12156,2,17,0,6,0,2,0.78,0.52,0.2537,235,227,462,26,14.58388888888889
12192,2,5,1,1,0,1,0.6,0.78,0.1343,4,5,9,28,14.6275
12201,2,14,1,1,0,1,0.8,0.63,0.2836,238,227,465,28,14.6275
12205,2,18,1,1,0,1,0.8,0.59,0.2985,132,251,383,28,14.6275
12218,2,7,0,2,1,1,0.66,0.78,0.2239,19,431,450,29,14.648333333333333
12219,2,8,0,2,1,1,0.7,0.74,0.194,46,588,634,29,14.648333333333333
12245,2,10,0,3,1,2,0.62,0.69,0.2836,39,138,177,30,14.668055555555556
12265,2,6,0,4,1,1,0.6,0.73,0.2239,7,171,178,31,14.687222222222223
12270,2,11,0,4,1,1,0.72,0.37,0.2836,65,153,218,31,14.687222222222223
12276,2,17,0,4,1,1,0.76,0.31,0.1642,85,742,827,31,14.687222222222223
12279,2,20,0,4,1,1,0.68,0.44,0.1642,88,391,479,31,14.687222222222223
12296,2,13,0,5,1,1,0.72,0.7,0.2985,76,240,316,1,14.705555555555556
12298,2,15,0,5,1,3,0.72,0.66,0.2836,45,213,258,1,14.705555555555556
12303,2,20,0,5,1,3,0.62,0.94,0.2537,1,38,39,1,14.705555555555556
12305,2,22,0,5,1,3,0.6,0.88,0.1343,1,22,23,1,14.705555555555556
12343,2,12,0,0,0,1,0.66,0.39,0.2985,276,408,684,3,14.739722222222222
12349,2,18,0,0,0,1,0.7,0.34,0.2537,153,343,496,3,14.739722222222222
12363,2,8,0,1,1,1,0.6,0.49,0.2239,22,643,665,4,14.755555555555556
12370,2,15,0,1,1,1,0.66,0.39,0.2985,77,215,292,4,14.755555555555556
12391,2,12,0,2,1,2,0.54,0.56,0.2239,45,202,247,5,14.770555555555555
12396,2,17,0,2,1,1,0.6,0.43,0.0,86,764,850,5,14.770555555555555
12436,2,9,0,4,1,1,0.58,0.68,0.0,37,300,337,7,14.797777777777778
12450,2,23,0,4,1,1,0.56,0.52,0.1343,42,135,177,7,14.797777777777778
12473,2,22,0,5,1,1,0.68,0.41,0.1045,61,230,291,8,14.810277777777777
12523,2,0,0,1,1,1,0.7,0.65,0.1045,8,33,41,11,14.841944444444444
12527,2,4,0,1,1,1,0.64,0.78,0.1343,0,7,7,11,14.841944444444444
12544,2,21,0,1,1,2,0.72,0.58,0.194,32,218,250,11,14.841944444444444
12545,2,22,0,1,1,2,0.72,0.58,0.194,22,142,164,11,14.841944444444444
12573,2,2,0,3,1,1,0.62,0.83,0.1343,0,4,4,13,14.858611111111111
12610,2,15,0,4,1,1,0.74,0.48,0.2985,111,213,324,14,14.865277777777777
12628,2,9,0,5,1,1,0.62,0.65,0.1642,58,308,366,15,14.87138888888889
12632,2,13,0,5,1,1,0.7,0.42,0.2537,121,272,393,15,14.87138888888889
12661,2,18,0,6,0,2,0.72,0.37,0.2239,256,315,571,16,14.876388888888888
12671,2,4,0,0,0,1,0.54,0.64,0.0896,2,16,18,17,14.880277777777778
12688,2,21,0,0,0,1,0.62,0.57,0.194,76,170,246,17,14.880277777777778
12715,2,0,0,2,1,2,0.6,0.78,0.1642,5,30,35,19,14.885555555555555
12729,2,14,0,2,1,1,0.76,0.58,0.1045,61,166,227,19,14.885555555555555
12745,2,6,0,3,1,2,0.64,0.89,0.0896,9,156,165,20,14.886666666666667
12766,3,3,0,4,1,1,0.72,0.74,0.0,3,8,11,21,14.886944444444444
12787,3,0,0,5,1,2,0.76,0.7,0.1045,16,77,93,22,14.886388888888888
