instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,daylight_hours
1100,2011-02-18,Spring,0,2,13,0,5,1,Clear,0.6,0.6212,0.43,0.194,45,131,176,10.870277777777778
1101,2011-02-18,Spring,0,2,14,0,5,1,Clear,0.66,0.6212,0.36,0.2985,73,118,191,10.870277777777778
1102,2011-02-18,Spring,0,2,15,0,5,1,Clear,0.66,0.6212,0.36,0.3284,55,117,172,10.870277777777778
1103,2011-02-18,Spring,0,2,16,0,5,1,Clear,0.66,0.6212,0.36,0.2836,68,164,232,10.870277777777778
1104,2011-02-18,Spring,0,2,17,0,5,1,Clear,0.66,0.6212,0.34,0.3582,52,275,327,10.870277777777778
1105,2011-02-18,Spring,0,2,18,0,5,1,Clear,0.64,0.6212,0.33,0.3284,29,195,224,10.870277777777778
1106,2011-02-18,Spring,0,2,19,0,5,1,Clear,0.62,0.6212,0.29,0.5821,16,146,162,10.870277777777778
1107,2011-02-18,Spring,0,2,20,0,5,1,Clear,0.6,0.6212,0.31,0.194,19,105,124,10.870277777777778
1108,2011-02-18,Spring,0,2,21,0,5,1,Clear,0.58,0.5455,0.21,0.4925,11,61,72,10.870277777777778
1109,2011-02-18,Spring,0,2,22,0,5,1,Clear,0.54,0.5152,0.1,0.2537,19,88,107,10.870277777777778
1110,2011-02-18,Spring,0,2,23,0,5,1,Clear,0.52,0.5,0.08,0.2836,16,61,77,10.870277777777778
1111,2011-02-19,Spring,0,2,0,0,6,0,Clear,0.48,0.4697,0.12,0.4925,6,23,29,10.910277777777777
1112,2011-02-19,Spring,0,2,1,0,6,0,Clear,0.46,0.4545,0.14,0.4179,10,21,31,10.910277777777777
1113,2011-02-19,Spring,0,2,2,0,6,0,Clear,0.44,0.4394,0.13,0.3881,3,14,17,10.910277777777777
1114,2011-02-19,Spring,0,2,3,0,6,0,Clear,0.42,0.4242,0.14,0.2985,0,7,7,10.910277777777777
1115,2011-02-19,Spring,0,2,4,0,6,0,Clear,0.4,0.4091,0.15,0.3284,0,3,3,10.910277777777777
1116,2011-02-19,Spring,0,2,5,0,6,0,Clear,0.4,0.4091,0.15,0.3284,0,3,3,10.910277777777777
1117,2011-02-19,Spring,0,2,6,0,6,0,Clear,0.4,0.4091,0.17,0.4179,3,3,6,10.910277777777777
1118,2011-02-19,Spring,0,2,7,0,6,0,Clear,0.38,0.3939,0.17,0.5224,6,16,22,10.910277777777777
1119,2011-02-19,Spring,0,2,8,0,6,0,Clear,0.38,0.3939,0.17,0.5821,9,36,45,10.910277777777777
1120,2011-02-19,Spring,0,2,9,0,6,0,Clear,0.4,0.4091,0.16,0.6567,18,37,55,10.910277777777777
1121,2011-02-19,Spring,0,2,10,0,6,0,Clear,0.42,0.4242,0.16,0.5821,34,72,106,10.910277777777777
1122,2011-02-19,Spring,0,2,11,0,6,0,Clear,0.44,0.4394,0.16,0.5821,47,76,123,10.910277777777777
1123,2011-02-19,Spring,0,2,12,0,6,0,Clear,0.44,0.4394,0.18,0.4925,38,81,119,10.910277777777777
1124,2011-02-19,Spring,0,2,13,0,6,0,Clear,0.44,0.4394,0.16,0.6119,52,103,155,10.910277777777777
1125,2011-02-19,Spring,0,2,14,0,6,0,Clear,0.46,0.4545,0.15,0.6567,102,94,196,10.910277777777777
1126,2011-02-19,Spring,0,2,15,0,6,0,Clear,0.44,0.4394,0.16,0.7463,84,87,171,10.910277777777777
1127,2011-02-19,Spring,0,2,16,0,6,0,Clear,0.44,0.4394,0.16,0.6418,39,81,120,10.910277777777777
1128,2011-02-19,Spring,0,2,17,0,6,0,Clear,0.42,0.4242,0.19,0.6119,36,91,127,10.910277777777777
1129,2011-02-19,Spring,0,2,18,0,6,0,Clear,0.36,0.3182,0.25,0.4478,21,67,88,10.910277777777777
1130,2011-02-19,Spring,0,2,19,0,6,0,Clear,0.34,0.303,0.29,0.3582,5,54,59,10.910277777777777
1131,2011-02-19,Spring,0,2,20,0,6,0,Clear,0.32,0.2879,0.28,0.5224,9,38,47,10.910277777777777
1132,2011-02-19,Spring,0,2,21,0,6,0,Clear,0.32,0.2727,0.26,0.5522,4,29,33,10.910277777777777
1133,2011-02-19,Spring,0,2,22,0,6,0,Clear,0.3,0.2576,0.28,0.4925,2,42,44,10.910277777777777
1134,2011-02-19,Spring,0,2,23,0,6,0,Clear,0.28,0.2424,0.33,0.4478,4,25,29,10.910277777777777
1135,2011-02-20,Spring,0,2,0,0,0,0,Clear,0.26,0.2121,0.35,0.4478,3,14,17,10.950277777777778
1136,2011-02-20,Spring,0,2,1,0,0,0,Clear,0.24,0.197,0.41,0.4627,5,11,16,10.950277777777778
1137,2011-02-20,Spring,0,2,2,0,0,0,Clear,0.24,0.197,0.41,0.5522,0,17,17,10.950277777777778
1138,2011-02-20,Spring,0,2,3,0,0,0,Clear,0.22,0.1818,0.44,0.5522,9,9,18,10.950277777777778
1139,2011-02-20,Spring,0,2,4,0,0,0,Clear,0.22,0.1818,0.44,0.5522,0,1,1,10.950277777777778
1140,2011-02-20,Spring,0,2,6,0,0,0,Clear,0.2,0.1818,0.47,0.2985,1,1,2,10.950277777777778
1141,2011-02-20,Spring,0,2,7,0,0,0,Clear,0.18,0.1667,0.51,0.2537,0,2,2,10.950277777777778
1142,2011-02-20,Spring,0,2,8,0,0,0,Clear,0.2,0.2273,0.51,0.1045,2,22,24,10.950277777777778
1143,2011-02-20,Spring,0,2,9,0,0,0,Clear,0.22,0.2121,0.47,0.2836,7,48,55,10.950277777777778
1144,2011-02-20,Spring,0,2,10,0,0,0,Mist,0.26,0.2576,0.41,0.194,34,70,104,10.950277777777778
1145,2011-02-20,Spring,0,2,11,0,0,0,Mist,0.3,0.303,0.33,0.1642,72,89,161,10.950277777777778
1146,2011-02-20,Spring,0,2,12,0,0,0,Clear,0.3,0.3182,0.33,0.1045,62,120,182,10.950277777777778
1147,2011-02-20,Spring,0,2,13,0,0,0,Clear,0.34,0.3333,0.29,0.0,76,122,198,10.950277777777778
1148,2011-02-20,Spring,0,2,14,0,0,0,Clear,0.36,0.3485,0.27,0.1642,108,104,212,10.950277777777778
1149,2011-02-20,Spring,0,2,15,0,0,0,Clear,0.36,0.3636,0.27,0.0896,66,102,168,10.950277777777778
1150,2011-02-20,Spring,0,2,16,0,0,0,Clear,0.36,0.3636,0.29,0.0896,59,88,147,10.950277777777778
1151,2011-02-20,Spring,0,2,17,0,0,0,Clear,0.34,0.3485,0.33,0.1642,60,86,146,10.950277777777778
1152,2011-02-20,Spring,0,2,18,0,0,0,Mist,0.34,0.3333,0.36,0.1343,30,71,101,10.950277777777778
1153,2011-02-20,Spring,0,2,19,0,0,0,Mist,0.34,0.3333,0.36,0.1343,3,39,42,10.950277777777778
1154,2011-02-20,Spring,0,2,20,0,0,0,Mist,0.34,0.3636,0.42,0.0,12,30,42,10.950277777777778
1155,2011-02-20,Spring,0,2,21,0,0,0,Mist,0.32,0.3485,0.53,0.0,17,39,56,10.950277777777778
1156,2011-02-20,Spring,0,2,22,0,0,0,Mist,0.32,0.303,0.57,0.2239,4,43,47,10.950277777777778
1157,2011-02-20,Spring,0,2,23,0,0,0,Mist,0.3,0.303,0.61,0.1642,9,45,54,10.950277777777778
1158,2011-02-21,Spring,0,2,0,1,1,0,Mist,0.34,0.303,0.42,0.3284,7,30,37,10.990833333333333
1159,2011-02-21,Spring,0,2,1,1,1,0,Mist,0.34,0.303,0.42,0.3284,2,11,13,10.990833333333333
1160,2011-02-21,Spring,0,2,2,1,1,0,Mist,0.34,0.303,0.42,0.3284,1,3,4,10.990833333333333
1161,2011-02-21,Spring,0,2,3,1,1,0,Mist,0.34,0.303,0.42,0.2985,2,3,5,10.990833333333333
1162,2011-02-21,Spring,0,2,4,1,1,0,Clear,0.32,0.3182,0.45,0.1642,1,0,1,10.990833333333333
1163,2011-02-21,Spring,0,2,5,1,1,0,Mist,0.34,0.3636,0.36,0.0,1,2,3,10.990833333333333
1164,2011-02-21,Spring,0,2,6,1,1,0,Mist,0.42,0.4242,0.26,0.2985,2,6,8,10.990833333333333
1165,2011-02-21,Spring,0,2,7,1,1,0,Mist,0.42,0.4242,0.26,0.2836,3,16,19,10.990833333333333
1166,2011-02-21,Spring,0,2,8,1,1,0,Mist,0.32,0.303,0.57,0.2985,7,56,63,10.990833333333333
1167,2011-02-21,Spring,0,2,9,1,1,0,Mist,0.32,0.303,0.57,0.2836,11,46,57,10.990833333333333
1168,2011-02-21,Spring,0,2,10,1,1,0,Mist,0.32,0.303,0.57,0.2537,29,52,81,10.990833333333333
1169,2011-02-21,Spring,0,2,11,1,1,0,Mist,0.32,0.3333,0.57,0.1045,20,70,90,10.990833333333333
1170,2011-02-21,Spring,0,2,12,1,1,0,Mist,0.32,0.3182,0.66,0.194,26,67,93,10.990833333333333
1171,2011-02-21,Spring,0,2,13,1,1,0,Light Snow,0.3,0.2727,0.81,0.3284,28,75,103,10.990833333333333
1172,2011-02-21,Spring,0,2,14,1,1,0,Mist,0.32,0.303,0.76,0.2537,15,101,116,10.990833333333333
1173,2011-02-21,Spring,0,2,15,1,1,0,Mist,0.3,0.2727,0.7,0.4478,11,76,87,10.990833333333333
1174,2011-02-21,Spring,0,2,16,1,1,0,Light Snow,0.28,0.2424,0.75,0.4179,8,48,56,10.990833333333333
1175,2011-02-21,Spring,0,2,17,1,1,0,Mist,0.28,0.2576,0.75,0.3881,18,62,80,10.990833333333333
1176,2011-02-21,Spring,0,2,18,1,1,0,Mist,0.24,0.2121,0.87,0.3582,2,64,66,10.990833333333333
1177,2011-02-21,Spring,0,2,19,1,1,0,Mist,0.24,0.2121,0.87,0.3582,0,49,49,10.990833333333333
1178,2011-02-21,Spring,0,2,20,1,1,0,Light Snow,0.24,0.2121,0.81,0.3881,0,29,29,10.990833333333333
1179,2011-02-21,Spring,0,2,21,1,1,0,Light Snow,0.22,0.197,0.75,0.4478,1,33,34,10.990833333333333
1180,2011-02-21,Spring,0,2,22,1,1,0,Light Snow,0.2,0.1667,0.75,0.4179,0,11,11,10.990833333333333
1181,2011-02-21,Spring,0,2,23,1,1,0,Light Snow,0.2,0.1667,0.75,0.4179,0,2,2,10.990833333333333
1182,2011-02-22,Spring,0,2,6,0,2,1,Mist,0.12,0.1212,0.8,0.2836,0,7,7,11.03138888888889
1183,2011-02-22,Spring,0,2,7,0,2,1,Mist,0.12,0.1212,0.8,0.2836,0,40,40,11.03138888888889
1184,2011-02-22,Spring,0,2,8,0,2,1,Mist,0.12,0.1212,0.8,0.2537,7,107,114,11.03138888888889
1185,2011-02-22,Spring,0,2,9,0,2,1,Mist,0.14,0.1212,0.74,0.2537,5,101,106,11.03138888888889
1186,2011-02-22,Spring,0,2,10,0,2,1,Clear,0.16,0.1818,0.69,0.0,0,44,44,11.03138888888889
1187,2011-02-22,Spring,0,2,11,0,2,1,Clear,0.16,0.2273,0.64,0.0,7,43,50,11.03138888888889
1188,2011-02-22,Spring,0,2,12,0,2,1,Clear,0.2,0.2273,0.59,0.1045,7,48,55,11.03138888888889
1189,2011-02-22,Spring,0,2,13,0,2,1,Clear,0.22,0.2273,0.55,0.1642,3,52,55,11.03138888888889
1190,2011-02-22,Spring,0,2,14,0,2,1,Clear,0.22,0.2273,0.55,0.194,9,49,58,11.03138888888889
1191,2011-02-22,Spring,0,2,15,0,2,1,Clear,0.24,0.2273,0.48,0.194,2,67,69,11.03138888888889
1192,2011-02-22,Spring,0,2,16,0,2,1,Clear,0.22,0.2273,0.51,0.1642,7,79,86,11.03138888888889
1193,2011-02-22,Spring,0,2,17,0,2,1,Clear,0.22,0.2121,0.51,0.2239,8,188,196,11.03138888888889
1194,2011-02-22,Spring,0,2,18,0,2,1,Clear,0.22,0.2273,0.47,0.1343,6,161,167,11.03138888888889
1195,2011-02-22,Spring,0,2,19,0,2,1,Clear,0.2,0.1818,0.47,0.2836,4,114,118,11.03138888888889
1196,2011-02-22,Spring,0,2,20,0,2,1,Clear,0.2,0.197,0.47,0.2239,3,102,105,11.03138888888889
1197,2011-02-22,Spring,0,2,21,0,2,1,Clear,0.2,0.197,0.47,0.2537,2,80,82,11.03138888888889
1198,2011-02-22,Spring,0,2,22,0,2,1,Clear,0.16,0.1515,0.43,0.2537,1,76,77,11.03138888888889
1199,2011-02-22,Spring,0,2,23,0,2,1,Clear,0.16,0.1515,0.43,0.2537,3,18,21,11.03138888888889
1200,2011-02-23,Spring,0,2,0,0,3,1,Clear,0.14,0.1364,0.5,0.194,0,6,6,11.071944444444444
1201,2011-02-23,Spring,0,2,1,0,3,1,Clear,0.14,0.1515,0.46,0.1642,0,4,4,11.071944444444444
1202,2011-02-23,Spring,0,2,2,0,3,1,Clear,0.12,0.1515,0.5,0.1343,0,1,1,11.071944444444444
1203,2011-02-23,Spring,0,2,3,0,3,1,Clear,0.12,0.1364,0.5,0.1642,0,2,2,11.071944444444444
1204,2011-02-23,Spring,0,2,5,0,3,1,Clear,0.12,0.1515,0.5,0.1045,0,8,8,11.071944444444444
1205,2011-02-23,Spring,0,2,6,0,3,1,Clear,0.12,0.1515,0.5,0.1045,0,36,36,11.071944444444444
1206,2011-02-23,Spring,0,2,7,0,3,1,Clear,0.12,0.1515,0.54,0.1343,2,94,96,11.071944444444444
1207,2011-02-23,Spring,0,2,8,0,3,1,Clear,0.14,0.1515,0.54,0.1642,8,227,235,11.071944444444444
1208,2011-02-23,Spring,0,2,9,0,3,1,Clear,0.18,0.2121,0.51,0.0896,9,130,139,11.071944444444444
1209,2011-02-23,Spring,0,2,10,0,3,1,Clear,0.2,0.2576,0.4,0.0,4,47,51,11.071944444444444
1210,2011-02-23,Spring,0,2,11,0,3,1,Clear,0.24,0.2576,0.41,0.1045,16,53,69,11.071944444444444
1211,2011-02-23,Spring,0,2,12,0,3,1,Clear,0.26,0.2879,0.35,0.0896,11,56,67,11.071944444444444
1212,2011-02-23,Spring,0,2,13,0,3,1,Clear,0.3,0.3182,0.28,0.0896,9,78,87,11.071944444444444
1213,2011-02-23,Spring,0,2,14,0,3,1,Clear,0.32,0.3333,0.29,0.1045,17,61,78,11.071944444444444
1214,2011-02-23,Spring,0,2,15,0,3,1,Clear,0.34,0.3485,0.25,0.0896,18,54,72,11.071944444444444
1215,2011-02-23,Spring,0,2,16,0,3,1,Clear,0.34,0.3636,0.25,0.0,15,79,94,11.071944444444444
1216,2011-02-23,Spring,0,2,17,0,3,1,Clear,0.34,0.3485,0.25,0.0896,15,207,222,11.071944444444444
1217,2011-02-23,Spring,0,2,18,0,3,1,Clear,0.32,0.3333,0.26,0.0896,3,206,209,11.071944444444444
1218,2011-02-23,Spring,0,2,19,0,3,1,Clear,0.3,0.3333,0.33,0.0,6,135,141,11.071944444444444
1219,2011-02-23,Spring,0,2,20,0,3,1,Clear,0.24,0.2424,0.6,0.1642,2,107,109,11.071944444444444
1220,2011-02-23,Spring,0,2,21,0,3,1,Clear,0.24,0.2879,0.48,0.0,2,89,91,11.071944444444444
1221,2011-02-23,Spring,0,2,22,0,3,1,Clear,0.24,0.2879,0.48,0.0,1,60,61,11.071944444444444
1222,2011-02-23,Spring,0,2,23,0,3,1,Clear,0.22,0.2576,0.55,0.0896,1,38,39,11.071944444444444
1223,2011-02-24,Spring,0,2,0,0,4,1,Clear,0.22,0.2576,0.55,0.0896,0,11,11,11.112777777777778
1224,2011-02-24,Spring,0,2,1,0,4,1,Clear,0.22,0.2576,0.6,0.0896,0,7,7,11.112777777777778
1225,2011-02-24,Spring,0,2,2,0,4,1,Clear,0.2,0.2273,0.64,0.0896,0,4,4,11.112777777777778
1226,2011-02-24,Spring,0,2,3,0,4,1,Clear,0.2,0.2121,0.64,0.1343,0,2,2,11.112777777777778
1227,2011-02-24,Spring,0,2,5,0,4,1,Clear,0.2,0.2121,0.69,0.1343,1,3,4,11.112777777777778
1228,2011-02-24,Spring,0,2,6,0,4,1,Clear,0.2,0.197,0.69,0.194,0,58,58,11.112777777777778
1229,2011-02-24,Spring,0,2,7,0,4,1,Clear,0.2,0.197,0.72,0.194,0,104,104,11.112777777777778
1230,2011-02-24,Spring,0,2,8,0,4,1,Clear,0.24,0.2273,0.7,0.2239,8,244,252,11.112777777777778
1231,2011-02-24,Spring,0,2,9,0,4,1,Mist,0.24,0.2121,0.75,0.2985,4,133,137,11.112777777777778
1232,2011-02-24,Spring,0,2,10,0,4,1,Mist,0.26,0.2424,0.7,0.2836,8,49,57,11.112777777777778
1233,2011-02-24,Spring,0,2,11,0,4,1,Mist,0.32,0.2879,0.57,0.3881,8,71,79,11.112777777777778
1234,2011-02-24,Spring,0,2,12,0,4,1,Mist,0.36,0.3333,0.53,0.3582,10,85,95,11.112777777777778
1235,2011-02-24,Spring,0,2,13,0,4,1,Mist,0.38,0.3939,0.54,0.2985,16,72,88,11.112777777777778
1236,2011-02-24,Spring,0,2,14,0,4,1,Mist,0.4,0.4091,0.5,0.2985,2,67,69,11.112777777777778
1237,2011-02-24,Spring,0,2,15,0,4,1,Light Snow,0.4,0.4091,0.54,0.3881,5,58,63,11.112777777777778
1238,2011-02-24,Spring,0,2,16,0,4,1,Light Snow,0.38,0.3939,0.62,0.2836,4,67,71,11.112777777777778
1239,2011-02-24,Spring,0,2,17,0,4,1,Light Snow,0.36,0.3485,0.66,0.194,9,168,177,11.112777777777778
1240,2011-02-24,Spring,0,2,18,0,4,1,Mist,0.34,0.303,0.87,0.3284,5,132,137,11.112777777777778
1241,2011-02-24,Spring,0,2,19,0,4,1,Light Snow,0.34,0.303,0.93,0.2985,3,112,115,11.112777777777778
1242,2011-02-24,Spring,0,2,20,0,4,1,Mist,0.34,0.303,0.93,0.3582,2,87,89,11.112777777777778
1243,2011-02-24,Spring,0,2,21,0,4,1,Mist,0.34,0.303,0.87,0.3284,7,76,83,11.112777777777778
1244,2011-02-24,Spring,0,2,22,0,4,1,Light Snow,0.34,0.3182,0.87,0.2836,5,50,55,11.112777777777778
1245,2011-02-24,Spring,0,2,23,0,4,1,Mist,0.32,0.303,0.93,0.2239,3,47,50,11.112777777777778
1246,2011-02-25,Spring,0,2,0,0,5,1,Light Snow,0.32,0.3485,0.93,0.0,1,8,9,11.153888888888888
1247,2011-02-25,Spring,0,2,1,0,5,1,Mist,0.32,0.3485,1.0,0.0,1,9,10,11.153888888888888
1248,2011-02-25,Spring,0,2,2,0,5,1,Mist,0.32,0.3485,1.0,0.0,0,3,3,11.153888888888888
1249,2011-02-25,Spring,0,2,3,0,5,1,Mist,0.32,0.3333,0.93,0.1045,1,1,2,11.153888888888888
1250,2011-02-25,Spring,0,2,5,0,5,1,Mist,0.32,0.3333,0.93,0.1045,1,5,6,11.153888888888888
1251,2011-02-25,Spring,0,2,6,0,5,1,Light Snow,0.34,0.3485,0.93,0.0896,0,11,11,11.153888888888888
1252,2011-02-25,Spring,0,2,7,0,5,1,Light Snow,0.34,0.3333,1.0,0.1343,1,34,35,11.153888888888888
1253,2011-02-25,Spring,0,2,8,0,5,1,Light Snow,0.36,0.3485,0.93,0.1343,3,70,73,11.153888888888888
1254,2011-02-25,Spring,0,2,9,0,5,1,Light Snow,0.34,0.303,0.93,0.3582,3,111,114,11.153888888888888
1255,2011-02-25,Spring,0,2,10,0,5,1,Light Snow,0.42,0.4242,0.94,0.3284,7,42,49,11.153888888888888
1256,2011-02-25,Spring,0,2,11,0,5,1,Clear,0.52,0.5,0.77,0.4478,9,50,59,11.153888888888888
1257,2011-02-25,Spring,0,2,12,0,5,1,Light Snow,0.54,0.5152,0.6,0.4627,20,95,115,11.153888888888888
1258,2011-02-25,Spring,0,2,13,0,5,1,Light Snow,0.54,0.5152,0.6,0.4627,6,77,83,11.153888888888888
1259,2011-02-25,Spring,0,2,14,0,5,1,Light Snow,0.56,0.5303,0.56,0.6119,14,71,85,11.153888888888888
1260,2011-02-25,Spring,0,2,15,0,5,1,Clear,0.46,0.4545,0.41,0.806,5,50,55,11.153888888888888
1261,2011-02-25,Spring,0,2,16,0,5,1,Clear,0.32,0.2879,0.49,0.4627,11,91,102,11.153888888888888
1262,2011-02-25,Spring,0,2,17,0,5,1,Clear,0.32,0.2727,0.49,0.7463,8,181,189,11.153888888888888
1263,2011-02-25,Spring,0,2,18,0,5,1,Clear,0.32,0.2879,0.49,0.4925,7,150,157,11.153888888888888
1264,2011-02-25,Spring,0,2,19,0,5,1,Clear,0.3,0.2727,0.52,0.4478,4,86,90,11.153888888888888
1265,2011-02-25,Spring,0,2,20,0,5,1,Clear,0.3,0.2576,0.49,0.6119,2,60,62,11.153888888888888
1266,2011-02-25,Spring,0,2,21,0,5,1,Clear,0.28,0.2576,0.48,0.3881,7,56,63,11.153888888888888
1267,2011-02-25,Spring,0,2,22,0,5,1,Clear,0.26,0.2121,0.48,0.4478,7,43,50,11.153888888888888
1268,2011-02-25,Spring,0,2,23,0,5,1,Clear,0.26,0.2273,0.48,0.3284,2,37,39,11.153888888888888
1269,2011-02-26,Spring,0,2,0,0,6,0,Clear,0.24,0.2273,0.52,0.194,3,25,28,11.195
1270,2011-02-26,Spring,0,2,1,0,6,0,Clear,0.24,0.2121,0.52,0.2985,2,25,27,11.195
1271,2011-02-26,Spring,0,2,2,0,6,0,Clear,0.22,0.197,0.6,0.3582,3,9,12,11.195
1272,2011-02-26,Spring,0,2,3,0,6,0,Clear,0.22,0.2273,0.55,0.1343,1,7,8,11.195
1273,2011-02-26,Spring,0,2,4,0,6,0,Mist,0.22,0.2576,0.6,0.0896,1,1,2,11.195
1274,2011-02-26,Spring,0,2,5,0,6,0,Mist,0.22,0.2424,0.64,0.1045,1,9,10,11.195
1275,2011-02-26,Spring,0,2,6,0,6,0,Clear,0.22,0.2727,0.6,0.0,1,6,7,11.195
1276,2011-02-26,Spring,0,2,7,0,6,0,Clear,0.22,0.2576,0.6,0.0896,1,21,22,11.195
1277,2011-02-26,Spring,0,2,8,0,6,0,Mist,0.24,0.2879,0.6,0.0,2,55,57,11.195
1278,2011-02-26,Spring,0,2,9,0,6,0,Mist,0.26,0.2576,0.56,0.1642,9,65,74,11.195
1279,2011-02-26,Spring,0,2,10,0,6,0,Mist,0.3,0.303,0.49,0.1343,14,71,85,11.195
1280,2011-02-26,Spring,0,2,11,0,6,0,Clear,0.3,0.3333,0.45,0.0,26,100,126,11.195
1281,2011-02-26,Spring,0,2,12,0,6,0,Mist,0.32,0.3182,0.45,0.1642,45,115,160,11.195
1282,2011-02-26,Spring,0,2,13,0,6,0,Mist,0.34,0.3182,0.42,0.2537,38,136,174,11.195
1283,2011-02-26,Spring,0,2,14,0,6,0,Mist,0.34,0.303,0.36,0.3284,57,154,211,11.195
1284,2011-02-26,Spring,0,2,15,0,6,0,Mist,0.36,0.3333,0.4,0.2836,40,125,165,11.195
1285,2011-02-26,Spring,0,2,16,0,6,0,Clear,0.36,0.3333,0.46,0.2836,41,130,171,11.195
1286,2011-02-26,Spring,0,2,17,0,6,0,Clear,0.36,0.3485,0.43,0.2239,53,130,183,11.195
1287,2011-02-26,Spring,0,2,18,0,6,0,Clear,0.34,0.3333,0.46,0.194,26,111,137,11.195
1288,2011-02-26,Spring,0,2,19,0,6,0,Clear,0.32,0.303,0.49,0.2537,30,64,94,11.195
1289,2011-02-26,Spring,0,2,20,0,6,0,Clear,0.3,0.303,0.56,0.1642,8,60,68,11.195
1290,2011-02-26,Spring,0,2,21,0,6,0,Clear,0.28,0.2727,0.65,0.2537,9,59,68,11.195
1291,2011-02-26,Spring,0,2,22,0,6,0,Clear,0.28,0.2727,0.75,0.2239,8,38,46,11.195
1292,2011-02-26,Spring,0,2,23,0,6,0,Clear,0.28,0.2576,0.75,0.2836,5,29,34,11.195
1293,2011-02-27,Spring,0,2,0,0,0,0,Clear,0.26,0.2424,0.87,0.2836,8,26,34,11.23638888888889
1294,2011-02-27,Spring,0,2,1,0,0,0,Clear,0.26,0.2576,0.87,0.194,7,30,37,11.23638888888889
1295,2011-02-27,Spring,0,2,2,0,0,0,Clear,0.26,0.2727,0.87,0.1343,2,20,22,11.23638888888889
1296,2011-02-27,Spring,0,2,3,0,0,0,Clear,0.26,0.2879,0.87,0.0896,3,8,11,11.23638888888889
1297,2011-02-27,Spring,0,2,4,0,0,0,Clear,0.24,0.2424,0.87,0.1343,0,2,2,11.23638888888889
1298,2011-02-27,Spring,0,2,6,0,0,0,Clear,0.24,0.2879,0.87,0.0,2,1,3,11.23638888888889
1299,2011-02-27,Spring,0,2,7,0,0,0,Clear,0.24,0.2424,0.87,0.1343,6,8,14,11.23638888888889
1300,2011-02-27,Spring,0,2,8,0,0,0,Clear,0.26,0.303,0.87,0.0,9,26,35,11.23638888888889
1301,2011-02-27,Spring,0,2,9,0,0,0,Clear,0.28,0.303,0.87,0.0896,17,42,59,11.23638888888889
1302,2011-02-27,Spring,0,2,10,0,0,0,Clear,0.3,0.303,0.81,0.1642,24,79,103,11.23638888888889
1303,2011-02-27,Spring,0,2,11,0,0,0,Clear,0.36,0.3485,0.62,0.1343,33,92,125,11.23638888888889
1304,2011-02-27,Spring,0,2,12,0,0,0,Clear,0.4,0.4091,0.54,0.0896,61,132,193,11.23638888888889
1305,2011-02-27,Spring,0,2,13,0,0,0,Clear,0.42,0.4242,0.47,0.0,90,169,259,11.23638888888889
1306,2011-02-27,Spring,0,2,14,0,0,0,Clear,0.44,0.4394,0.47,0.0896,105,177,282,11.23638888888889
1307,2011-02-27,Spring,0,2,15,0,0,0,Clear,0.46,0.4545,0.44,0.1343,98,163,261,11.23638888888889
1308,2011-02-27,Spring,0,2,16,0,0,0,Clear,0.48,0.4697,0.44,0.1642,98,170,268,11.23638888888889
1309,2011-02-27,Spring,0,2,17,0,0,0,Clear,0.42,0.4242,0.54,0.194,66,121,187,11.23638888888889
1310,2011-02-27,Spring,0,2,18,0,0,0,Clear,0.4,0.4091,0.54,0.194,24,103,127,11.23638888888889
1311,2011-02-27,Spring,0,2,19,0,0,0,Clear,0.4,0.4091,0.54,0.1343,16,86,102,11.23638888888889
1312,2011-02-27,Spring,0,2,20,0,0,0,Clear,0.4,0.4091,0.54,0.0896,9,72,81,11.23638888888889
1313,2011-02-27,Spring,0,2,21,0,0,0,Clear,0.38,0.3939,0.62,0.1642,8,61,69,11.23638888888889
1314,2011-02-27,Spring,0,2,22,0,0,0,Mist,0.38,0.3939,0.62,0.1045,2,67,69,11.23638888888889
1315,2011-02-27,Spring,0,2,23,0,0,0,Mist,0.36,0.3485,0.62,0.1642,6,53,59,11.23638888888889
1316,2011-02-28,Spring,0,2,0,0,1,1,Mist,0.36,0.3636,0.66,0.1045,5,25,30,11.277777777777779
1317,2011-02-28,Spring,0,2,1,0,1,1,Light Snow,0.34,0.303,0.87,0.3582,1,7,8,11.277777777777779
1318,2011-02-28,Spring,0,2,3,0,1,1,Light Snow,0.32,0.3182,0.93,0.1642,0,1,1,11.277777777777779
1319,2011-02-28,Spring,0,2,5,0,1,1,Mist,0.34,0.3636,0.93,0.0,1,4,5,11.277777777777779
1320,2011-02-28,Spring,0,2,6,0,1,1,Mist,0.34,0.3485,0.96,0.1045,1,27,28,11.277777777777779
1321,2011-02-28,Spring,0,2,7,0,1,1,Mist,0.36,0.3636,0.93,0.1045,2,90,92,11.277777777777779
1322,2011-02-28,Spring,0,2,8,0,1,1,Mist,0.34,0.303,0.93,0.2985,13,242,255,11.277777777777779
1323,2011-02-28,Spring,0,2,9,0,1,1,Clear,0.42,0.4242,0.82,0.2836,15,127,142,11.277777777777779
1324,2011-02-28,Spring,0,2,10,0,1,1,Mist,0.52,0.5,0.72,0.4925,13,79,92,11.277777777777779
1325,2011-02-28,Spring,0,2,11,0,1,1,Mist,0.56,0.5303,0.64,0.2985,13,74,87,11.277777777777779
